Merchant Number - Business Name,Transaction Date,Terminal ID,System Batch Number,Device Batch Number,Request Amount,Settle Amount,Card Number,Card Product,Ext Card Type,Auth Code,System Trace Audit Number,Retrieval Reference,Message Type,Transaction Type,Extended Transaction Type,Transaction Paid,Pos Entry Mode,Device Serial,store,Batch Screening Status,Transaction Screening Status,Date Payment Extract,UTI,Online Reference Number,Issuing Bank,BIN,Processing,Product Type,Decline Reason
M001 - Merchant A,2025-07-04,T1860,86820,64886,516,494,**** **** **** 5426,Amex,Debit,275203,291335,5537253172,Refund,Online,Contactless,No,Swipe,DS3433,Store_4,Approved,Cleared,2025-07-05,521909,130349564,Bank A,425658,Standard,Services,Card Expired
M002 - Merchant B,2025-07-14,T3734,45773,77435,1317,1315,**** **** **** 4556,Amex,Credit,589492,356840,9646907153,Refund,POS,Contactless,No,Swipe,DS8513,Store_1,Pending,Flagged,2025-07-16,778843,624150214,Bank A,417159,Standard,Food,Insufficient Funds
M001 - Merchant A,2025-07-04,T2585,79479,99475,3123,3118,**** **** **** 4843,MasterCard,Credit,538974,302283,6992124617,Refund,Online,Contactless,Yes,Manual,DS8629,Store_3,Approved,Flagged,2025-07-04,123247,191693393,Bank C,409268,Express,Services,
M002 - Merchant B,2025-07-12,T9571,48044,61214,3934,3934,**** **** **** 9006,Visa,Debit,555808,233767,4055190407,Sale,POS,Normal,Yes,Chip,DS4561,Store_3,Pending,Cleared,2025-07-14,894824,629561415,Bank B,452256,Express,Food,Card Expired
M002 - Merchant B,2025-07-08,T9996,94651,73335,2823,2797,**** **** **** 6056,Amex,Credit,239182,572525,3410667225,Sale,POS,Contactless,Yes,Manual,DS5488,Store_3,Declined,Flagged,2025-07-09,647707,563390156,Bank C,450015,Standard,Retail,
M002 - Merchant B,2025-07-04,T2757,90356,81910,1728,1686,**** **** **** 5636,Visa,Debit,961882,979858,9076547867,Refund,Online,Normal,No,Chip,DS3693,Store_4,Pending,Flagged,2025-07-06,642335,346703609,Bank C,415707,Standard,Food,Insufficient Funds
M001 - Merchant A,2025-07-01,T2306,71373,16776,2725,2713,**** **** **** 6864,Amex,Credit,551269,121959,6248913060,Sale,POS,Contactless,No,Manual,DS8994,Store_2,Approved,Flagged,2025-07-01,937437,116816569,Bank B,465318,Express,Food,
M001 - Merchant A,2025-07-01,T1698,36736,10854,3524,3523,**** **** **** 6172,MasterCard,Debit,781669,580671,4127665406,Refund,Online,Normal,No,Swipe,DS1197,Store_2,Declined,Cleared,2025-07-01,455528,403998075,Bank C,451663,Standard,Food,Card Expired
M002 - Merchant B,2025-07-03,T2986,21411,12911,1784,1744,**** **** **** 3976,Amex,Debit,373255,399648,1487365080,Refund,POS,Normal,No,Swipe,DS1262,Store_4,Pending,Flagged,2025-07-03,247443,227348283,Bank A,402049,Standard,Services,
M001 - Merchant A,2025-07-11,T8158,53016,17400,3220,3202,**** **** **** 3255,Amex,Debit,630583,488215,3757504919,Refund,POS,Normal,No,Swipe,DS5199,Store_4,Pending,Cleared,2025-07-12,924792,802234722,Bank A,468497,Express,Services,Insufficient Funds
